nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
7107226,환경,"서울시 배출권거래제 대응계획",백승주,기후변화대응과,20160922000000,"환경>에너지 절감>에너지 절감(배출권 거래제) 계획>서울시 배출권 거래제 대응계획",2133-3598,"CC BY",http://opengov.seoul.go.kr/public/7107226
9524895,공통업무,"2016년 8월 도시재생본부 주거환경개선과 업무추진비 집행내역",정선용,주거환경개선과,20160902091604,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-7246,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524895
9524896,공통업무,"2016년 8월 여의도공원 부서운영업무추진비 집행내역",김영주,여의도공원관리사무소,20160902092705,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-761-4078,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524896
9524897,공통업무,"2016년 8월 광진소방서 금호119안전센터 업무추진비 집행내역",서영익,금호119안전센터,20160902093731,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",0222911119,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524897
9524899,주택도시계획,"보증금지원형 장기안심주택 공급현황(`12년~`16년 상반기)",안홍기,임대주택과,20160902102711,"주택도시계획>임대주택>임대주택 개발 공급현황>장기안심주택 등 임대주택 개발, 공급현황",2133-7068,"CC BY-ND",http://opengov.seoul.go.kr/public/9524899
9524900,공통업무,"2016년 8월 영등포아리수정수센터 정수시설과 업무추진비 집행내역",김익동,정수시설과,20160902103040,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-5677,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524900
9524901,공통업무,"2016년 7월 업무추진비 지출 내역 등록(환경수자원전문위원실)",이지훈,환경수자원전문위원실,20160902103321,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3705-1225,"CC BY",http://opengov.seoul.go.kr/public/9524901
9524902,공통업무,"2016년 8월 도시기반시설본부 도시철도토목부 업무추진비 집행내역",김주미,도시철도토목부,20160902103459,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-772-7217,"CC BY",http://opengov.seoul.go.kr/public/9524902
9524903,공통업무,"2016년 8월 광진소방서 중곡119안전센터 업무추진비 집행내역",박은수,중곡119안전센터,20160902104416,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-453-2119,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524903
9524904,공통업무,"2016년 8월 관악소방서 업무추진비 집행내역 공개",최선우,소방행정과,20160902105517,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02)875-4322,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524904
9524905,공통업무,"2016년 8월 북부수도사업소 요금과 업무추진비 집행내역",이상희,요금과,20160902110105,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02)3146-3282,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524905
9524906,공통업무,"2016년 8월 강남수도사업소 요금과 부서운영비 집행내역",심하늬,"강남수도사업소 요금과",20160902110820,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-4783,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524906
9524907,공통업무,"2016년 8월 보건환경연구원 질병연구부 업무추진비 공개",신명희,질병연구부,20160902000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",570-3461,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524907
9524908,공통업무,"2016년 08월 광진소방서 송정119안전센터 업무추진비 집행내역",안성호-22,송정119안전센터,20160902111842,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",024620119,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524908
9524909,공통업무,"2016년 8월 상수도사업본부 요금관리부 업무추진비 집행내역",김미정,요금제도과,20160902112041,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-1182,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524909
9524910,공통업무,"2016년 8월 보건환경연구원 대기환경연구부 부서운영업무추진비 집행내역 공개",신윤미,대기환경연구부,20160902112739,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",570-3282,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9524910
9524911,공통업무,"2016년 8월 중부공원녹지사업소 북서울꿈의숲관리사무소 업무추진비 집행내역",모혜옥,북서울꿈의숲관리사무소,20160902112910,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2289-4016,"CC BY",http://opengov.seoul.go.kr/public/9524911
9538859,공통업무,"보건환경연구원강남농수산물검사소8월 업무추진비 내역",김경자,강남농수산물검사소,20160902000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3435-0662,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538859
9538860,공통업무,"2016년 8월 동부수도사업소 업무추진비(기관운영,시책추진,부서운영,정원가산) 집행내역",노은영,"동부수도사업소 행정지원과",20160902114750,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-2612,"CC BY-NC",http://opengov.seoul.go.kr/public/9538860
9538861,공통업무,"강서도로사업소업무추진비8월 ",이효선,관리단속과,20160902131416,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",0226577918,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538861
9538862,공통업무,"2016년 8월 상수도사업본부 경영관리부 업무추진비 집행내역",김호남,총무과,20160902131919,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-1111,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538862
9538863,공통업무,"2016년 8월 도시기반시설본부 방재시설부 업무추진비 집행내역",이동남,방재시설부,20160902132449,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3708-8744,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538863
9538864,공통업무,"2016년 8월 생활환경과 업무추진비 집행내역",유금자,생활환경과,20160902135109,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-3728,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538864
9538865,공통업무,"2016년 8월 남부수도사업소 급수운영과 업무추진비 집행내역",박현주,급수운영과,20160902140517,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-4555,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538865
9538866,공통업무,"서부공원녹지사업소 8월 업무추진비 사용내역 공개",임한묵,환경보전과,20160902143626,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",023005561,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538866
9538867,공통업무,"은평소방서 업무추진비 집행내역(8월) ",백종민,소방행정과,20160902000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-353-0119,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538867
9538868,공통업무,"2016. 8월 산업거점조성반 업무추진비 집행내역",유명은,경제정책과,20160902145433,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-4824,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538868
9538869,공통업무,"2016년 8월 구의아리수정수센터 업무추진비 집행내역",신상용,행정관리과,20160902151951,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-5412,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9538869
9539842,건강,"2016년 치매지원센터 운영실적(2016.6월말 기준)",이희선,건강증진과,20160902161351,"건강>건강관리>치매사업 관리계획>치매사업 관리계획 및 추진현황",2133-7583,"CC BY-ND",http://opengov.seoul.go.kr/public/9539842
9539843,공통업무,"2016년 8월 서울시보건환경연구원 강북농수물검사소 업무추진비 공개",정삼식,강북농수산물검사소,20160902161649,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02)968-5093,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9539843
9539844,공통업무,"2016년 8월 성동도로사업소 업무추진비 사용내역",최경혜,관리단속과,20160902161907,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2210-1512,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9539844
9539845,건강,"2015년 감염병 감시 연보",이경희,생활보건과,20160902163951,"건강>감염질환>감염병 발생현황>주요 감염병 발생현황",02-2133-7665,"CC BY-NC-SA",http://opengov.seoul.go.kr/public/9539845
9539846,건강,"음식점 위생등급평가 결과 등급업소 공개",이철환,식품안전과,20160902165436,"건강>식생활 안전>음식점 위생등급제 평가제 실시>음식점 위생등급제 평가결과 우수음식점 공개",02-2133-4716,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9539846
9539847,공통업무,"2016년 8월 도시재생본부 주거재생과 업무추진비 집행내역",김경화,주거재생과,20160902170916,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-7163,"CC BY-ND",http://opengov.seoul.go.kr/public/9539847
9539848,공통업무,"2016년 8월 수도자재관리센터 업무추진비공개내역(기관, 부서,정원)",우미숙,수도자재관리센터,20160902172041,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3146-1913,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9539848
9539849,공통업무,"[북서울미술관] 2016년 8월 업무추진비 집행내역",오윤경,운영과,20160902172124,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2124-5208,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9539849
9539850,공통업무,"2016년 8월 서대문소방서 업무추진비 집행내역",이병준,소방행정과,20160902173145,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3144-1119,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9539850
9539851,공통업무,"도시기반시설본부 도시철도계획부(8월) 업무추진비",최상희,도시철도계획부,20160902173958,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-772-7138,"CC BY-NC",http://opengov.seoul.go.kr/public/9539851
9539852,공통업무,"2016년 8월 안전총괄본부 도로계획과 업무추진비 집행내역",최은주,도로계획과,20160902180612,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-8075,"CC BY",http://opengov.seoul.go.kr/public/9539852
9539853,건강,"2015년 감염병 감시 연보",함현진,생활보건과,20160902182404,"건강>감염질환>감염병 발생현황>주요 감염병 발생현황",02-2133-7687,"CC BY-NC-SA",http://opengov.seoul.go.kr/public/9539853
9539854,공통업무,"중부공원녹지사업소 녹지관리과 8월 부서업무추진비 집행내역",최현순,녹지관리과,20160902184450,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3783-5942,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9539854
9539855,공통업무,"'16년 8월 업무추진비 사용내역(일자리정책담당관)",이길수,"일자리 정책과",20160902215825,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-5452,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9539855
9539856,공통업무,"2016년 8월 시흥119안전센터 업무추진비 집행내역",김주만,시흥119안전센터,20160903112410,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",806-1119,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9539856
9553386,공통업무,"2016년 8월 강남수도사업소 업무추진비 집행내역",허홍석,행정지원과,20160903135215,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-4712,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9553386
9554324,공통업무,"광암아리수정수센터 업무추진비 집행내역(201608)",유혜영,정수운영과,20160903182154,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-5313,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554324
