국가코드,DB종류,특허/실용 구분,문헌종류 코드,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호/공표/재공표 ,공개일,등록번호,등록일,출원인,출원인 국적,출원인 수,출원인 대표명화 코드,출원인 대표명화 영문명,출원인 대표명화 국문명[KR],출원인 식별기호[JP],발명자/고안자,우선권 번호,우선권 국가,우선권 주장일,국제 공개번호,국제 공개일,Original CPC Main,Original CPC All,Original IPC Main,Original IPC All,Original US Class Main[US],Original US Class All[US],Original FI[JP],Original F-term[JP],Original Theme Code [JP],WIPS ON key
US,US,P,B2,Turboengine water wash system,"A system for cleaning gas turbine engines is described. More specifically, methods and apparatuses for cleaning stationary gas turbines and on-wing turbofan engines found on aircraft are disclosed that includes a trailer-mounted, automated low-pressure water delivery system, additive and detergent injection system, nozzle and manifold technology, and active waste water effluent collector system. The system will deliver the liquid cleaning medium at a specific pressure, temperature, and flow rate to optimize the atomization that occurs at the nozzles.","1. An apparatus for cleaning wing mounted gas turbine engines, comprising: means for pressurizing an aqueous wash medium, wherein said means comprises an automated, low-pressure water delivery system operating from about 200 psi to about 725 psi;means for incorporating additives and/or detergents into the wash medium;a manifold and injection nozzle assembly, having a plurality of nozzles mounted on a moveable manifold that is fluidly connected to a source of wash medium, the manifold positionable directly in front of an air inlet of a gas turbine engine for delivering the wash medium into the air inlet of the gas turbine engine and connectable to the gas turbine engine; andmeans for actively, through suction of the engine exhaust airflow, collecting the aqueous wash medium after said medium transverses the engine, wherein the means for actively collecting the aqueous wash medium includes a vertically extending front face that is positionable at an outlet of the engine to receive a substantially horizontal airflow.",64,11/644784,2006-12-22,2008-0149141,2008-06-26,8628627,2014-01-14,"EcoServices, LLC",US,1,,,,,Hubert E.  Sales | Peter  Asplund,,,,,,,,B08B-009/00,B08B-009/00,134/166.R,134/166.R | 134/138,,,,4.914E+12
US,US,P,A1,TREATMENT OF TAILINGS WITH DEIONIZED SILICATE SOLUTIONS,A process for treating a tailings stream comprises (a) contacting a deionized silicate solution with a tailings stream whereby the solids are entrapped within a gel produced from the silicate solution; and (b) allowing the gel to strengthen and solidify. The process may further comprise spreading the gel produced in step (a) over a surface. The present invention is particularly useful to treat tailings streams produced in processes to extract bitumen from oil sands ores.,"1. A process for treating a tailings stream comprising (a) contacting a deionized silicate solution having a molar ratio of Si:M of at least 2.6, wherein M is an alkali metal, with a tailings stream whereby the solids are entrapped within a gel produced from the silicate solution; and (b) allowing the gel to strengthen and solidify.",20,13/848244,2013-03-21,2014-0007795,2014-01-09,,,E I DU PONT DE NEMOURS AND COMPANY,US,1,UN000060,DU PONT,,,ROBERT HARVEY  MOFFETT | SIGRIDUR SOLEY  KRIST JANSDOTTIR,,,,,,B09B-0003/0025,B09B-0003/0025,B09B-003/00,B09B-003/00,106/627,106/627 | 106/600 | 106/631 | 106/632 | 106/634 | 210/702,,,,5.414E+12
US,US,P,A1,Method And Apparatus For Treating Tailings Using Alternating Current,"There is a method described of treating tailings which are composed of at least some water and clay particles. Within the tailings, at least some water molecules are weakly bond to the clay particles to form a gel like fluid from which water does not readily separate. An alternating current is applied to the tailings to change the electro-chemical properties of the tailings to reduce the weak bonding between the water and the clay particles so that water within the treated tailings is able to separate. Water within the treated tailings is then allowed to separate without further application of electricity. In some embodiments, the treated tailings are allowed to separate through evaporation. Liquid tailings may also be treated with alternating current by applying alternating current to the liquid tailings at a voltage gradient range of 1 to 5 V/cm for a total duration of 24 to 300 hours. The application of alternating current may further comprise applying alternating current at a frequency of 1 to 30 Hz.","1. A method of treating tailings having a combination of at least some water and clay particles, wherein at least some water molecules weakly bond to said clay particles to form a gel like fluid from which water does not readily separate, the method comprising the steps of: applying alternating current to said tailings to change the properties of said tailings to reduce the weak bonding between the water and said clay particles so that water within the treated tailings is able to separate; andallowing the water within said treated tailings to separate without further application of electricity.",18,13/765924,2013-02-13,2014-0008229,2014-01-09,,,DPRA Canada Incorporated,CA,1,,,,,Paul  Garcia | Bruce S.  Beattie | Ben  Harris | Doug  Kimzey | Robert C.  Parrott | James  Micak,2782949,CA,2012-07-09,,,C02F-0001/48,C02F-0001/48,C02F-001/48,C02F-001/48,204/554,204/554,,,,5.414E+12
US,US,P,A1,METHOD FOR STABILIZING WASTE AND HAZARDOUS WASTE,"The invention provides a process for stabilizing waste by landfilling, including mixing the waste with ash after burning oil shale, whereby safely stabilizing inorganic or organic waste by embedding it in a hardened matter exhibiting a high compression strength.","1. A method for stabilizing hazardous waste, comprising steps of i) providing ash after burning oil shale (shale ash);ii) mixing said hazardous waste to be stabilized with said shale ash, wherein said ash is added in an amount of between 0.45 and 2.0 weight parts per one weight part of said waste, andiii) transferring said mixture to the site of landfill.",20,13/767408,2013-02-14,2014-0005461,2014-01-02,,,ENVIRONMENTAL SERVICES COMPANY LTD.,IL,1,,,,,Gilad  Golub | Julio  Subovich,220731,IL,2012-07-02,,,A62D-0003/33,A62D-0003/33 | G21F-0009/302,A62D-003/33,A62D-003/33 | G21F-009/30,588/002,588/002 | 588/315,,,,5.414E+12
US,US,P,B2,Water treatment process and plant using ballasted flocculation and settling,"A method for treating wastewater using a ballasted flocculation technique includes continuously measuring the concentration of suspended solids, organic matter or other impurities in the water to be treated prior to directing the water to be treated to a flocculation tank. Based on this measurement, the amount of ballast necessary to obtain treated water of a predetermined quality is then calculated. In the flocculation tank, ballast and a flocculating reagent are added to the water to form a water-floc mixture. The water-floc mixture is directed to a settling tank where a sludge-ballast mixture is settled. The sludge-ballast mixture is directed to a mixing tank and then to a separator to separate the ballast from the sludge. The separated ballast is directed to the flocculation tank. The separated sludge is directed to the mixing tank when the level of sludge-ballast mixture in the mixing tank is lower than a predetermined level.","1. A method of treating wastewater including: a. measuring a concentration of pollutants in the wastewater to form a measurement of pollutants in the water;b. directing the wastewater to a ballasted flocculation system;c. forming a sludge-ballast mixture in the ballasted flocculation system;d. separating ballast from the sludge-ballast mixture and recirculating the separated ballast into the ballasted flocculation system;e. determining, utilizing the measurement of pollutants in the wastewater, a ballast concentration level that is required in the system to produce a treated water of a predetermined quality;f. measuring the ballast concentration level in the ballasted flocculation system;g. when the ballast concentration level is less than the required ballast concentration level, calculating an additional amount of ballast required to be added to the system in order to increase the ballast concentration in the system to the required level; and injecting the required additional amount of ballast into the system andh. wherein the additional amount of ballast injected into the ballasted flocculation system is in addition to the recirculated ballast directed back to the ballasted flocculation system.",18,12/521154,2007-12-26,2010-0096335,2010-04-22,8617400,2013-12-31,Veolia Water Solutions & Technologies Support,FR,1,,,,,Philippe  Sauvignet | Claus  Dahl | Valey  Ursel | Celine  Levecq | Jean-Francois  Beaudet,2006-011562,FR,2006-12-29,WO2008-083923,2008-07-17,,,C02F-001/52,C02F-001/52 | B01D-021/01 | B01D-021/02 | B01D-021/08 | B01D-021/34,210/709,210/709 | 210/711 | 210/712 | 210/713 | 210/714 | 210/724 | 210/726 | 210/738 | 210/739 | 210/745,,,,4.91305E+12
US,US,P,A1,"APPARATUS, SYSTEMS, AND METHODS FOR FLUID FILTRATION","The present disclosure relates, according to some embodiments, to apparatus, systems, and methods for reduction and/or removal of one or more contaminants (e.g., heavy metals, chromium, phosphorous, phosphorous compounds, nitrogen, nitrogen compounds) from a feed composition (e.g., a fluid). Apparatus, systems, and methods, in some embodiments, may be operable to decontaminate a fluid with comparatively little or no contaminant containing waste fluid.","1. A decontamination system for removing a contaminant from an intake fluid comprising the contaminant, the system comprising: (a) a fluid reactor configured (i) to receive the intake fluid,(ii) to permit the contaminant to bind an adsorbent to form a contaminant-adsorbent material, and(iii) to form a fluid reactor output stream comprising the contaminant-adsorbent material;(b) a catalyst recovery unit (CRU) (i) comprising a CRU porous membrane defining a CRU retentate portion and a CRU permeate portion of the catalyst recovery unit, and(ii) configured to receive the fluid reactor output stream in the CRU retentate portion of the CRU porous membrane and fractionate the fluid reactor output stream into a CRU retentate comprising the contaminant-adsorbent material in the CRU retentate portion of the catalyst recovery unit anda CRU permeate substantially free of the contaminant in the CRU permeate portion of the catalyst recovery unit,wherein the CRU retentate portion is in fluid communication with the intake stream and the CRU filtrate forms a first discharge stream;(c) a contaminant-concentrating module (DeWRS) (i) in fluid communication with the CRU retentate portion of the catalyst recovery unit,(ii) comprising a DeWRS porous membrane, oriented in a vertical position, defining a DeWRS retentate portion and a DeWRS permeate portion of the contaminant-concentrating module,(iii) configured to receive at least a portion of the CRU retentate in the DeWRS retentate portion of the contaminant-concentrating module and fractionate the CRU retentate into a DeWRS retentate comprising the contaminant-adsorbent material in the DeWRS retentate portion of the contaminant-concentrating module anda DeWRS permeate substantially free of the contaminant in the DeWRS permeate portion of the contaminant-concentrating module, wherein the DeWRS filtrate forms a second discharge stream, and(iv) configured to permit the contaminant-adsorbent material in the DeWRS retentate to settle into a contaminant trap positioned below the DeWRS porous membrane, andform a contaminant trap slug;(d) a first storage tank containing an acidic composition or a basic composition;(e) a contaminant-concentrating mixer tank (DeWMT) (i) in fluid communication with the DeWRS retentate portion of the contaminant-concentrating module and in fluid communication with the first storage tank,(ii) comprising a DeWMT porous membrane defining a DeWMT retentate portion and a DeWMT permeate portion of the contaminant-concentrating mixer tank,(iii) configured to receive at least a portion of the DeWRS retentate in the DeWMT retentate portion of the contaminant-concentrating mixer tank and fractionate the received DeWRS retentate into a DeWMT retentate comprising the contaminant-adsorbent material in the DeWMT retentate portion of the contaminant-concentrating mixer tank anda DeWMT permeate substantially free of the contaminant in the DeWMT permeate portion of the contaminant-concentrating mixer tank, wherein the DeWMT filtrate forms a third discharge stream;receive from the first storage tank into the DeWMT retentate portion of the contaminant-concentrating mixer tank an amount of the acid composition,mix the contents of the DeWMT retentate portion of the contaminant-concentrating mixer tank to permit desorption of the contaminant from the adsorbent to form a desorbed contaminant stream, a desorbed adsorbent stream, and, optionally, a residual contaminant-adsorbent material, andconvey the optional residual contaminant-adsorbent material, if present, to the first storage tank;(f) a clean adsorbent storage tank in fluid communication with the desorbed adsorbent stream and the intake stream;(g) a second storage tank containing a second storage tank fluid comprising (i) a base when if first storage tank contains an acidic composition, or (ii) an acid if the first storage tank contains a basic composition; and(h) a rinse tank in fluid communication with the desorbed contaminant stream, in fluid communication with the second storage tank and configured to receive and mix the received desorbed contaminant stream with the received second storage tank fluid to permit formation of a contaminant precipitate and a rinse tank supernatant, wherein the rinse tank supernatant forms a fourth discharge stream.",60,13/915506,2013-06-11,2013-0341270,2013-12-26,,,Brian E. Butters | Anthony L. Powell | John D. Pearce,CA | CA | CA,3,,,,,Brian E.  Butters | Anthony L.  Powell | John D.  Pearce,,,,,,C02F-0009/00,C02F-0009/00,C02F-009/00,C02F-009/00,210/636,210/636 | 210/189 | 210/638,,,,5.41305E+12
US,US,P,A1,SYSTEM AND METHOD FOR COMPACTING SOLID MEDICAL WASTE,"A system for collecting and compressing waste collected in a medical or surgical procedure. The system includes a bag for collecting the waste that is seated on a mobile cart. Once the waste is collected the bag is closed and, while on the cart, transported to a compactor. While on the cart, the bag is compacted. Air in the bag is discharged through a one-way valve fitted to the bag. The one way valve may be attached to a cartridge that is inserted into the bag opening. The air discharged from the bag is filtered prior to discharge into the ambient environment. The filter may be built into the one-way valve.","12. A method of collecting and compacting waste generated during a medical or surgical procedure, said method including the steps of: providing a bag with an opening, the bag being seated on a mobile cart, the bag having a one way valve through which air can be discharged from the bag and that blocks air flow into the bag;collecting waste generated during a medical or surgical procedure by placing the waste in the bag through the opening;closing the bag opening;while the bag is on the cart, moving the cart and bag to a compactor;after said step of closing the bag and while the bag remains on the cart, with the compactor, compressing the bag so that air within the bag is discharged through the one way valve; andduring said step of compressing the bag, filtering the air discharged from the bag.",21,13/955538,2013-07-31,2013-0333328,2013-12-19,,,Stryker Corporation,US,1,EN003261,STRYKER CORP,,,Bruce  Henniges | Douglas L.  Tyler | James G.  Walen | Chunwu  Wu,,,,,,A61L-0011/00,A61L-0011/00 | B09B-0003/0075,A61L-011/00,A61L-011/00 | B09B-003/00,053/434,053/434 | 053/436,,,,5.41305E+12
US,US,P,B1,Cement-treated soil blocks with vegetative faces,"A retaining wall or steeply faced slope is disclosed having a naturally green facade. The wall or slope is made of blocks of compacted earth, each having a face reinforced with wire mesh and covered with vegetation such as native grasses. The blocks may be formed onsite, saving transportation costs and other waste, using native soils. The mesh may extend beyond other faces of each block to provide handles and geogrid anchoring. A press is disclosed to form the blocks by compacting soil mixed with cement, the press including hydraulic rams or screw jacks that create immense pressures and having wedge shaped sides that relieve lateral confining pressure when the block is extracted.","1. A device comprising: a block containing a mixture of soil and a binder that has been compacted into a rigid state, the block having a first face, a second face and a third face, the first face including an upper portion, a lower portion and a step that is disposed between the upper portion and the lower portion;a metal mesh that is integrated into the first face of the block and substantially follows the shape of the first face;a substantially L-shaped retainer having a bottom portion and a side portion, wherein the bottom portion sits on the step and the side portion is separated from the upper portion to form a container that holds a growing medium; andplants growing from the growing medium.",13,12/966723,2010-12-13,,,8596928,2013-12-03,Henry G Justiniano,US,1,,,,,Henry G  Justiniano,,,,,,,,E02D-005/00,E02D-005/00 | A01G-017/06,405/286,405/286 | 405/284 | 047/044 | 047/047 | 047/083,,,,4.91305E+12
US,US,P,B2,"Waste solution solidifying agent, process for preparing the same and use of the same","An object of the present invention is to provide a waste solution solidifying agent which can solidify a waste solution, particularly, a waste solution containing blood or body fluid at a low cost, uniformly, and in a short time; in particular, to provide a waste solution solidifying agent which can solidify a waste solution uniformly and in a short time in a vertically oriented waste solution equipment. As a means of achieving this object, a waste solution solidifying agent of the present invention is a particulate treating agent used in a method of treating a waste solution which solidifies a waste solution into a gel by placing a treating agent in a waste solution, and is characterized in that said agent contains, as an essential component, a water-absorbent resin having a crosslinked structure obtained by polymerizing a water-soluble ethylenic unsaturated monomer and, when flowing-placed at once into a 0.90 mass % aqueous sodium chloride solution, 20 to 95 mass % of the agent is floated, and 80 to 5 mass % is settled. And a process for preparing a waste solution solidifying agent of the present invention is a process for preparing a particulate waste solution solidifying agent containing, as an essential component, a water-absorbent resin having a crosslinked structure obtained by polymerizing a water-soluble ethylenic unsaturated monomer, and comprises a step of mixing a hydrophobic substance having a methanol index of 20 or more after polymerization.","1. A method of solidifying a medical waste solution, which is a method of treating a medical waste solution containing blood or body fluid comprising placing a treating agent into a medical waste solution containing blood or body fluid in an effective amount to solidify the medical waste solution into a gel, wherein the treating agent is a particulate waste solution solidifying agent, said waste solution solidifying agent comprising, as an essential component, a water-absorbent resin having a crosslinked structure obtained by polymerizing a monomer containing acrylic acid and/or a salt thereof as a main component, and further comprising a non-volatile hydrophobic substance powder having a methanol index of 20 or more, wherein when placed in a 0.90 mass % aqueous sodium chloride solution at once, 20 to 95 mass % of the agent is floated, and 80 to 5 mass % of the agent is settled, provided that floating and settling are defined by the state at one minute after placement of 40 g of a particulate waste solution solidifying agent at once in a measuring cylinder having an effective volume of 1000 ml (inner diameter 66 mm) which has a vertical axial direction and contains 1000 ml of a 0.90 mass % aqueous sodium chloride solution at 25° C., and the hydrophobic substance being a powder where 90 to 100 mass % of the powder has a particle diameter of 200 μm or smaller, and the amount of the hydrophobic substance powder is 0.001 to 10 mass % relative to the total amount of the water-absorbent resin particles, and wherein Methanol Index: when 1 g of a hydrophobic substance is added to 50 ml of pure water at 25° C., in the case where the hydrophobic substance is a solid, a volume (ml) of methanol at 25° C. necessary for wetting, or in the case where the hydrophobic substance is a liquid, a volume (ml) of methanol at 25° C. necessary for dispersing and/or emulsifying the hydrophobic substance.",22,11/596068,2005-05-11,2007-0185366,2007-08-09,8598405,2013-12-03,"Nippon Shokubai Co., Ltd.",JP,1,UN000416,NIPPON CATALYTIC CHEM IND,,,Yoshihiko  Masuda | Masazumi  Sasabe | Seiji  Kato | Atsushi  Tachibana | Kenji  Kadonaga | Shigeru  Oka,2004-142805,JP,2004-05-12,WO2005-107940,2005-11-17,B01J-0020/103,B01J-0020/103 | B01J-0020/26,B09B-003/00,B09B-003/00 | C02F-001/00 | B01J-020/26 | B01J-020/10,604/368,604/368 | 524/300 | 524/322 | 588/249 | 588/255,,,,4.91305E+12
US,US,P,A1,METHOD FOR TREATING PROCESS WATER FROM A PLANT FOR THE HYDROTHERMAL CARBONISATION OF RENEWABLE RAW MATERIALS AND ORGANIC RESIDUES,"The invention relates to a method for the treatment of process water which is obtained in a plant for the hydrothermal carbonization of renewable raw materials and organic residual materials by an evaporation of process water, a condensation of the washed process steam, and a biological treatment of the process steam condensate as partial quantity or possibly as total quantity of the amount of waste water discharged from an HTC plant.","11. A method for the treatment of waste water from a plant for the hydrothermal carbonization of feedstocks (HTC plant), wherein process water is partly evaporated,the process steam thus obtained is condensed,the process steam condensate thus obtained is discharged from the HTC plant at least as partial quantity of waste water, andthe waste water is biologically treated,characterized in thateithera minimum quantity of process water is discharged from the HTC plant as waste water, which is required to raise the ash melting behavior of the carbonized feedstocks in such a way that an increase of an ash softening temperature to at least 1000° C. is achieved, andeither the water content of the feedstocks is limited to such an extent or the evaporative capacity of a thermal drying of the carbonized feedstocks in a steam atmosphere is increased to such an extent that the residual process water to be discharged from the HTC plant as waste water is evaporated in steam atmosphere in the thermal drying,orso much additional process steam condensate is obtained by the evaporation of process water in an evaporation plant and its subsequent condensation and is discharged from the HTC plant as waste water, as results from the difference between the quantity of waste water and the quantity of process steam condensate from a thermal drying of the carbonized feedstocks in a steam atmosphere, andfrom a concentrate of the process water evaporated in the evaporation plant such a quantity is discharged from the HTC plant as waste water or as waste as is required to adjust the ash melting behavior of the dry carbonized feedstocks in such a way that the ash softening temperature does not fall below a defined minimum, andconcentrate possibly present in additionis introduced into the hydrothermal carbonization oradmixed to the carbonized feedstocks before mechanically dewatering the same oris supplied to the thermal drying of the carbonized feedstocks.",9,13/981662,2012-01-27,2013-0306553,2013-11-21,,,SUNCOAL INDUSTRIES GmbH,DE,1,,,,,Tobias  Wittmann,10-2011-009775,DE,2011-01-28,,,C02F-0009/00,C02F-0009/00,C02F-009/00,C02F-009/00,210/609,210/609,,,,5.41305E+12
