source,target
3,7
4,15
2,49
5,44
1,1
2,19
4,22
4,34
4,40
5,31
4,17
5,16
2,43
5,20
3,48
1,19
2,8
4,12
5,31
4,36
5,48
2,27
3,15
3,1
5,34
4,3
3,40
1,45
2,47
3,48
3,41
2,21
4,18
2,13
2,22
1,18
2,27
1,3
3,42
1,33
3,16
2,31
5,17
1,6
3,22
5,5
4,27
1,35
1,7
2,15
1,49
1,12
4,31
2,36
1,48
2,29
2,26
3,6
3,32
5,14
4,44
5,13
4,11
3,23
1,33
3,35
2,46
5,8
2,5
3,29
2,18
3,41
5,28
4,3
5,8
1,27
2,1
3,1
4,19
2,33
5,11
2,23
4,24
1,40
1,41
3,30
3,23
4,49
2,16
4,27
3,40
4,29
3,18
4,14
4,44
1,18
4,0
4,46
2,2
3,18
3,35
3,3
4,12
4,31
3,36
1,48
1,7
1,11
2,37
4,45
4,20
4,29
4,24
2,27
5,2
2,22
1,5
1,13
2,42
1,47
1,46
2,22
4,41
1,39
3,13
5,23
1,24
2,42
1,1
2,40
2,14
3,44
3,20
4,26
3,12
1,31
4,36
3,48
3,28
2,27
5,47
1,21
4,7
3,36
5,33
1,17
5,47
2,29
1,12
2,31
2,36
3,4
5,9
4,11
4,18
3,35
2,3
1,11
4,29
3,14
4,42
4,33
5,20
3,22
2,46
3,44
1,22
1,5
2,38
3,49
4,6
5,33
2,16
5,0
2,46
5,2
3,12
4,31
5,26
1,24
1,0
4,6
4,25
4,22
2,5
1,19
1,14
3,35
5,48
3,13
2,11
3,17
2,47
2,29
1,35
4,44
1,7
2,15
1,22
4,5
4,0
5,46
2,2
2,1
3,4
1,9
3,18
1,41
1,1
3,19
1,39
5,12
1,18
1,0
1,46
4,2
4,22
3,19
2,42
5,33
1,37
1,0
3,46
1,2
2,37
4,18
4,35
1,45
4,11
1,4
4,9
2,15
1,28
4,49
4,24
1,35
1,19
3,22
2,5
3,37
2,0
5,46
1,5
2,33
3,39
3,35
4,2
1,19
4,4
1,3
1,5
4,48
4,18
3,35
5,4
1,6
1,28
1,18
1,35
5,3
3,31
4,49
3,6
5,17
3,25
3,17
5,8
2,3
